"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Spring","FIN","3174","Finance Career Strategies","Lytton","3.6","80","0","0","0","0","0","20","0","0","0","0","0","0","5","14899","  1"
"2019-20","Spring","HTM","5944","Graduate Seminar","McGehee","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","15761","  1"
"2022-23","Spring","HTM","5944","Graduate Seminar","McGehee","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","16524","  1"
"2023-24","Fall","MGT","6944","Grad Sem Mgt Research","Schnatterly","3.48","40","20","0","20","20","0","0","0","0","0","0","0","0","5","87902","  1"
"2016-17","Spring","HTM","5944","Graduate Seminar","McGehee","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","14854","  1"
"2022-23","Fall","ACIS","1104","Careers in ACIS","Compton","3.33","83.3","0","0","0","0","0","0","0","0","0","0","16.7","0","6","91554","  1"
"2020-21","Spring","HTM","5944","Graduate Seminar","Xiang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","16237","  1"
"2020-21","Spring","MGT","4946","Executive Ldrshp for Cadets","Miller","3.34","57.1","28.6","0","0","0","0","0","0","0","0","0","14.3","0","7","17909","  1"
"2023-24","Fall","MGT","2945","Small Unit Lrdshp for Cadets","Sheets","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","91517","  1"
"2016-17","Spring","MGT","5604","Team Building","Gittens","3.84","75","12.5","0","12.5","0","0","0","0","0","0","0","0","0","8","16007","  1"
"2016-17","Spring","FIN","3174","Finance Career Strategies","Kender","3.8","50","37.5","12.5","0","0","0","0","0","0","0","0","0","0","8","18649","  1"
"2017-18","Fall","FIN","3174","Finance Career Strategies","Kender","3.92","75","25","0","0","0","0","0","0","0","0","0","0","0","8","84129","  1"
"2018-19","Spring","HTM","4984","SS:Cert in Hotel Indstry Anly","Perdue","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","20283","  1"
"2020-21","Fall","FIN","3174","Finance Career Strategies","Kender","3.84","62.5","25","12.5","0","0","0","0","0","0","0","0","0","0","8","84931","  1"
"2020-21","Spring","FIN","3174","Finance Career Strategies","Kender","3.96","87.5","12.5","0","0","0","0","0","0","0","0","0","0","0","8","15237","  1"
"2021-22","Spring","FIN","3174","Finance Career Strategies","Kender","3.8","75","12.5","0","0","12.5","0","0","0","0","0","0","0","0","8","15369","  1"
"2022-23","Spring","FIN","3174","Finance Career Strategies","Kender","3.84","75","12.5","0","12.5","0","0","0","0","0","0","0","0","1","8","15511","  1"
"2018-19","Fall","FIN","3174","Finance Career Strategies","Kender","3.79","55.6","33.3","0","11.1","0","0","0","0","0","0","0","0","0","9","84458","  1"
"2018-19","Spring","FIN","3174","Finance Career Strategies","Kender","3.7","66.7","0","22.2","0","11.1","0","0","0","0","0","0","0","0","9","14610","  1"
"2019-20","Spring","FIN","3174","Finance Career Strategies","Kender","3.89","88.9","0","0","11.1","0","0","0","0","0","0","0","0","0","9","14898","  1"
"2020-21","Fall","MGT","5604","Team Building","Leijon","3.63","33.3","33.3","22.2","11.1","0","0","0","0","0","0","0","0","0","9","88188","  1"
"2016-17","Fall","FIN","3174","Finance Career Strategies","Kender","3.4","70","10","0","0","0","10","0","0","0","0","0","10","0","10","88609","  1"
"2017-18","Spring","FIN","3174","Finance Career Strategies","Kender","3.63","60","0","10","30","0","0","0","0","0","0","0","0","0","10","14350","  1"
"2019-20","Fall","MGT","5604","Team Building","Leijon","3.64","30","40","20","10","0","0","0","0","0","0","0","0","0","10","87359","  1"
"2019-20","Spring","ACIS","5144","Financial Statements for Mgrs","Easterwood","3.68","20","60","20","0","0","0","0","0","0","0","0","0","0","5","10194","  2"
"2019-20","Spring","BIT","5954","Study Abroad","Ghandforoush","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11688","  2"
"2019-20","Spring","MGT","5594","Technology & Innovation Mgt","Hatfield","3.82","40","60","0","0","0","0","0","0","0","0","0","0","0","5","17297","  2"
"2020-21","Fall","MGT","5854","Ethics and Ldrshp in Globl Env","Simpson","3.54","20","40","20","20","0","0","0","0","0","0","0","0","0","5","88198","  2"
"2019-20","Spring","MGT","4946","Executive Ldrshp for Cadets","Humphrey","3.74","63.6","18.2","0","9.1","9.1","0","0","0","0","0","0","0","0","11","17286","  1"
"2020-21","Spring","FIN","3174","Finance Career Strategies","Lytton","3.91","90.9","0","0","9.1","0","0","0","0","0","0","0","0","0","11","15238","  1"
"2017-18","Spring","MKTG","5954","Study Abroad","Khan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16380","  2"
"2018-19","Spring","FIN","3174","Finance Career Strategies","Lytton","3.57","50","8.3","25","8.3","0","8.3","0","0","0","0","0","0","0","12","20095","  1"
"2019-20","Fall","FIN","3174","Finance Career Strategies","Kender","3.78","75","8.3","0","8.3","8.3","0","0","0","0","0","0","0","0","12","84622","  1"
"2017-18","Fall","MGT","5604","Team Building","Leijon","3.75","46.2","38.5","7.7","7.7","0","0","0","0","0","0","0","0","0","13","86092","  1"
"2022-23","Spring","MGT","2946","Small Unit Ldrshp for Cadets","Sheets","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","21617","  1"
"2018-19","Fall","MGT","5604","Team Building","Leijon","3.64","42.9","21.4","21.4","14.3","0","0","0","0","0","0","0","0","0","14","86435","  1"
"2022-23","Spring","HTM","3954","HTM Study Abroad","Feigenbaum","4","100","0","0","0","0","0","0","0","0","0","0","0","0","14","16502","  1"
"2022-23","Spring","MGT","3936","Adv Professional Dev for Cdts","Mallory","3.86","85.7","0","0","14.3","0","0","0","0","0","0","0","0","0","7","21033","  2"
"2016-17","Fall","HTM","4354","IT & Social Media in HTM","Xiang","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","84675","  3"
"2016-17","Fall","MGT","5784","International Management","Hatfield","3.68","20","60","20","0","0","0","0","0","0","0","0","0","0","5","85928","  3"
"2016-17","Fall","MKTG","4404","Field Practicum In Marketing","Wertalik","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","85986","  3"
"2016-17","Fall","FIN","4984","SS: Commodity Invst Portfolios","Spicer","3","0","0","20","60","20","0","0","0","0","0","0","0","0","5","89326","  3"
"2016-17","Fall","MKTG","6204","Judgment and Decision Making","Bagchi","3.4","40","0","20","20","20","0","0","0","0","0","0","0","0","5","89731","  3"
"2016-17","Spring","MKTG","4404","Field Practicum In Marketing","Collins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","16070","  3"
"2016-17","Spring","MKTG","5154","Res Mktg Dec","Jiang","3.52","20","20","60","0","0","0","0","0","0","0","0","0","0","5","16102","  3"
"2016-17","Spring","ACIS","6024","Capital Markets in Accounting","Hansen","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18109","  3"
"2017-18","Fall","ACIS","4554","Networks & Telecomm Business","Shen","3.08","40","20","0","0","20","0","0","0","0","20","0","0","0","5","80165","  3"
"2017-18","Spring","ACIS","5584","Info Sys Security & Assurance","Belanger","3.46","20","20","40","20","0","0","0","0","0","0","0","0","0","5","10185","  3"
"2017-18","Spring","MGT","4946","Executive Ldrshp for Cadets","Humphrey","3.59","40","40","0","0","13.3","6.7","0","0","0","0","0","0","3","15","16241","  1"
"2017-18","Spring","MGT","5314","Organization Behavior","Becker","3.68","20","60","20","0","0","0","0","0","0","0","0","0","0","5","16251","  3"
"2017-18","Spring","MKTG","6106","Advanced Topics In Marketing","Chakravarti","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","16393","  3"
"2017-18","Spring","ACIS","4684","IS Security and Assurance","Belanger","3.08","0","20","0","60","20","0","0","0","0","0","0","0","0","5","18463","  3"
"2017-18","Spring","FIN","6126","Investments","Kadlec","3.82","40","60","0","0","0","0","0","0","0","0","0","0","0","5","19114","  3"
"2017-18","Spring","MGT","6734","Review Org Behav & HRM Res","Zimmerman","2.8","0","0","20","20","40","20","0","0","0","0","0","0","0","5","19829","  3"
"2017-18","Spring","MGT","6984","SS: Measurement in Bus. Rsrch","Beal","3.68","20","60","20","0","0","0","0","0","0","0","0","0","0","5","20233","  3"
"2017-18","Spring","MKTG","6984","SS: Quant Mthds for Bus Rsrch","Jiang","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","20296","  3"
"2018-19","Fall","ACIS","4554","Networks & Telecomm Business","Shen","2.4","0","0","20","0","40","20","0","0","0","20","0","0","0","5","80161","  3"
"2018-19","Fall","MKTG","4404","Field Practicum In Marketing","Wertalik","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","86518","  3"
"2018-19","Fall","FIN","6115","Corporate Finance","Xu","3.68","20","60","20","0","0","0","0","0","0","0","0","0","0","5","89746","  3"
"2018-19","Fall","MGT","4964","Field Study","Carlson","3.54","40","20","0","40","0","0","0","0","0","0","0","0","0","5","90122","  3"
"2018-19","Fall","ACIS","6984","SS:Archival Auditing Seminar","Pittman","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90589","  3"
"2018-19","Fall","FIN","4314","Field Projects in Finance","Morgan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90969","  3"
"2018-19","Spring","ACIS","4024","Info Sys Audit & Con","Barkhi","3.12","0","0","40","60","0","0","0","0","0","0","0","0","0","5","10159","  3"
"2018-19","Spring","ACIS","5624","Cybersec Govern and Risk Mgmt","Simpson","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","20071","  3"
"2018-19","Spring","MKTG","6984","SS: Adv Mulltivr Stat Bus Res","Yonce","3.72","60","0","40","0","0","0","0","0","0","0","0","0","0","5","20544","  3"
"2019-20","Fall","FIN","5124","Inv Analysis/Portfolio Mgt","Kumar","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","84657","  3"
"2019-20","Fall","HTM","5024","International Service Mgt","Khan","3.8","80","0","0","20","0","0","0","0","0","0","0","0","0","5","85452","  3"
"2019-20","Fall","MGT","5124","Business Research Methods","Beal","3.34","20","20","0","60","0","0","0","0","0","0","0","0","0","5","87352","  3"
"2019-20","Fall","MKTG","3104","Marketing Management","Wertalik","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","87430","  3"
"2019-20","Fall","MGT","3984","SS:Proj Mgmt for Prof Servs","Houff","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","90184","  3"
"2019-20","Fall","ACIS","5654","Advanced Accounting Analytics","Shortt","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","90680","  3"
"2019-20","Fall","FIN","3074","Legal & Finance Entrepreneurs","McClanahan","3.62","0","80","20","0","0","0","0","0","0","0","0","0","0","5","90770","  3"
"2019-20","Fall","HTM","4514","Hospitality Market Data Analys","Perdue","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90922","  3"
"2019-20","Fall","MKTG","6304","Sem In Buyer Beh Res","May","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","91364","  3"
"2019-20","Fall","MKTG","6984","SS:Exp Rsrch:Appr.Dsgn & Data","Pandelaere","3.34","20","20","20","20","20","0","0","0","0","0","0","0","0","5","91552","  3"
"2019-20","Spring","ACIS","5654","Advanced Accounting Analytics","Shortt","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","10211","  3"
"2019-20","Spring","FIN","4224","Fixed Income Securities","Morgan","3.48","60","0","0","0","40","0","0","0","0","0","0","0","0","5","14914","  3"
"2019-20","Spring","MGT","5314","Organization Behavior","Becker","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","17295","  3"
"2019-20","Spring","MKTG","5104","Marketing Policy And Strategy","Leijon","3.4","20","40","20","0","0","20","0","0","0","0","0","0","0","5","17420","  3"
"2019-20","Spring","MKTG","6105","Advanced Topics In Marketing","Chakravarti","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","17442","  3"
"2019-20","Spring","ACIS","4344","Tax for Financial Planners","Compton","2.72","20","0","40","20","0","0","0","0","0","0","0","20","1","5","19663","  3"
"2019-20","Spring","BIT","4624","Cybersecurity Analytics","Adjerid","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","19853","  3"
"2019-20","Spring","MKTG","6105","Advanced Topics In Marketing","Chakravarti","3.66","40","20","40","0","0","0","0","0","0","0","0","0","0","5","21428","  3"
"2019-20","Spring","MKTG","6984","SS:Quant Mthds Bus Rsrch","Jiang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21760","  3"
"2020-21","Fall","ACIS","5104","Fundamentals of Accounting","Bhattacharjee","2.74","40","0","20","0","0","0","0","20","0","0","20","0","0","5","80171","  3"
"2020-21","Fall","ACIS","5654","Advanced Accounting Analytics","Shortt","3.54","60","0","0","20","20","0","0","0","0","0","0","0","0","5","80190","  3"
"2020-21","Fall","FIN","3074","Legal & Finance Entrepreneurs","McClanahan","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","84910","  3"
