"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2016-17","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","2.8","0","20","20","20","0","20","0","20","0","0","0","0","0","5","86092","  1"
"2016-17","Spring","MINE","3544","Mineral Processing Laboratory","Yazgan","3.2","20","0","20","40","20","0","0","0","0","0","0","0","0","5","16030","  1"
"2017-18","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","3.2","20","0","20","40","20","0","0","0","0","0","0","0","2","5","86271","  1"
"2017-18","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","3.26","20","20","20","20","0","20","0","0","0","0","0","0","0","5","86272","  1"
"2017-18","Spring","ECE","3354","Power Laboratory","Cooper","3.06","0","20","40","0","20","20","0","0","0","0","0","0","0","5","12957","  1"
"2017-18","Spring","ESM","3064","Mech Behavior Matls Lab","Aning","3.2","20","0","20","40","20","0","0","0","0","0","0","0","0","5","14264","  1"
"2017-18","Spring","MSE","3064","Mech Behavior Matls Lab","Aning","2.54","0","20","0","40","0","0","20","0","0","20","0","0","0","5","16437","  1"
"2017-18","Spring","MSE","4984","SS: Adv Lab:Ceramic & Glass","Suchicital","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","19753","  1"
"2018-19","Fall","AOE","4254","Ocean Engineering Laboratory","Alexander","3.34","40","20","20","0","0","0","0","20","0","0","0","0","0","5","80350","  1"
"2018-19","Fall","ESM","3064","Mech Behavior Matls Lab","Aidi","3.6","60","0","0","40","0","0","0","0","0","0","0","0","0","5","84308","  1"
"2018-19","Fall","CS","2304","Self Study Prog Sys","Lohani","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90985","  1"
"2019-20","Fall","AOE","4105","Experiments for AE Design","Coutier-Delgosha","3.3","0","0","100","0","0","0","0","0","0","0","0","0","0","5","80352","  1"
"2019-20","Fall","AOE","4205","Exper for Ocean Vehicle Design","Alexander","2.68","0","0","0","40","40","0","20","0","0","0","0","0","0","5","80362","  1"
"2019-20","Fall","AOE","4205","Exper for Ocean Vehicle Design","Alexander","1.94","0","20","0","0","20","20","0","0","0","20","0","20","0","5","80364","  1"
"2019-20","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","2.88","0","40","0","20","0","0","40","0","0","0","0","0","0","5","87559","  1"
"2019-20","Spring","AOE","4206","Exper for Ocean Vehicle Design","Alexander","3.26","0","20","40","40","0","0","0","0","0","0","0","0","0","5","20478","  1"
"2019-20","Spring","AOE","4106","Experiments for AE Design","Coutier-Delgosha","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","20493","  1"
"2020-21","Fall","ECE","3274","Elctrnc Circuits Lab II","Cooper","3.68","20","60","20","0","0","0","0","0","0","0","0","0","0","5","83366","  1"
"2020-21","Fall","ECE","3354","Power Laboratory","Cooper","3","20","20","20","20","0","0","0","0","0","20","0","0","0","5","83368","  1"
"2020-21","Fall","ECE","3354","Power Laboratory","Cooper","2.88","20","40","0","0","0","20","0","0","0","0","20","0","0","5","83369","  1"
"2020-21","Fall","ESM","3064","Mech Behavior Matls Lab","Galitz","3.14","60","20","0","0","0","0","0","0","0","0","0","20","0","5","84784","  1"
"2020-21","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","3.18","0","0","60","40","0","0","0","0","0","0","0","0","0","5","88390","  1"
"2020-21","Fall","MSE","4075","Senior Design Laboratory","Aning","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","88397","  1"
