"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2016-17","Fall","CHEM","5014","Presentation Skills","Bump","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","82211","  1"
"2016-17","Spring","BIOL","3264","Med & Vet Entomology Lab","Paulson","3.8","80","0","0","20","0","0","0","0","0","0","0","0","0","5","11265","  1"
"2016-17","Spring","CHEM","1066","Gen Chemistry Lab for Majors","Hanson","3.34","20","40","20","0","0","0","20","0","0","0","0","0","1","5","12213","  1"
"2016-17","Spring","PHYS","1156","Astronomy Laboratory","Simonetti","3.54","80","0","0","0","0","0","0","20","0","0","0","0","0","5","16727","  1"
"2016-17","Spring","GEOS","5984","SS: Radiogenic Iso Geochem/Chr","Dragovic","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","19519","  1"
"2017-18","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.54","60","20","0","0","0","0","20","0","0","0","0","0","0","5","82220","  1"
"2017-18","Fall","GEOS","1104","Physical Geology Laboratory","Chermak","3.62","20","60","0","20","0","0","0","0","0","0","0","0","0","5","84376","  1"
"2018-19","Spring","BIOL","3104","Cell Molecular Biol Laboratory","Voshell","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","11408","  1"
"2018-19","Spring","BIOL","6004","TS: Core Papers in EEB","Sewall","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","11463","  1"
"2019-20","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.34","40","20","0","20","0","0","20","0","0","0","0","0","0","5","82433","  1"
"2019-20","Fall","COS","2164","Introduction to Scieneering","Watford","3.14","60","20","0","0","0","0","0","0","0","0","0","20","0","5","82718","  1"
"2019-20","Fall","GEOS","1124","Earth Res, Society & Env Lab","Chermak","3.6","60","0","0","40","0","0","0","0","0","0","0","0","0","5","84943","  1"
"2019-20","Spring","CHEM","1046","General Chemistry Laboratory","Long","3.66","80","0","0","0","0","20","0","0","0","0","0","0","0","5","12450","  1"
"2019-20","Spring","CHEM","2124","Analytical Chem Lab","Geller","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","12519","  1"
"2019-20","Spring","CHEM","3625","Physical Chemistry Laboratory","Orler","3.4","60","0","0","20","0","0","20","0","0","0","0","0","0","5","12581","  1"
